"Id","Name"
"00G3f000000N38gEAC","GCS Adaptors"
"00G3f000000N389EAC","GCS Adaptors Queue"
"00G3f000000N38AEAS","GCS Admin Queue"
"00G3f000000QiTDEA0","GCS Administrators"
"00G3f000000QiU2EAK","GCS Administrators"
"00G3f000000N386EAC","GCS ANZ Queue"
"00G3f000000N387EAC","GCS APAC PC"
"00G3f000000N388EAC","GCS APS Queue"
"00G3f000000N38BEAS","GCS B2B Queue"
"00G3f000000N38CEAS","GCS BDI Queue"
"00G3f000000N38DEAS","GCS BDM Queue"
"00G3f000000N38EEAS","GCS CEP Queue"
"00G3f000000N38FEAS","GCS China Queue"
"00G3f000000N38GEAS","GCS CLOUD Queue"
"00G3f000000N38hEAC","GCS CRE"
"00G3f000000N38HEAS","GCS CRE Queue"
"00G6S000007gEC6UAM","GCS CSS Queue"
"00G3f000000N38IEAS","GCS DQ Queue"
"00G3f000000N38JEAS","GCS DSG Queue"
"00G3f000000N38KEAS","GCS EDG Queue"
"00G3f000000N38LEAS","GCS EMEA Queue"
"00G3f000000QiTEEA0","GCS Five9 Admins"
"00G3f000000QiU3EAK","GCS Five9 Admins"
"00G3f000000QiTFEA0","GCS Five9 Users"
"00G3f000000QiU4EAK","GCS Five9 Users"
"00G3f000000N38aEAC","GCS iCare Queue"
"00G3f000000N38MEAS","GCS Japan Queue"
"00G3f000000N38NEAS","GCS Korea Queue"
"00G3f000000N38OEAS","GCS L0 Queue"
"00G3f000000N38PEAS","GCS LATAM Queue"
"00G3f000000QiTGEA0","GCS Managers"
"00G3f000000QiU5EAK","GCS Managers"
"00G3f000000N38QEAS","GCS MDM Queue"
"00G6S000007fkznUAA","GCS Migration Factory Queue"
"00G3f000000QiTHEA0","GCS Operations"
"00G3f000000QiU6EAK","GCS Operations"
"00G3f000000N38REAS","GCS P360 Queue"
"00G3f000000N38SEAS","GCS PC Queue"
"00G3f000000N38TEAS","GCS PREMIER Queue"
"00G3f000000N38UEAS","GCS PWX Queue"
"00G3f000000N38VEAS","GCS PWXISC Queue"
"00G3f000000N4vCEAS","GCS Service L0 Team"
"00G3f000000QiU7EAK","GCS Shipping"
"00G3f000000N38WEAS","GCS Shipping Cloud Queue"
"00G3f000000N38XEAS","GCS Shipping EMEA Queue"
"00G3f000000QiTIEA0","GCS Shipping Queue"
"00G3f000000QiTJEA0","GCS Skillset Approvers"
"00G3f000000QiU8EAK","GCS Skillset Approvers"
"00G3f000000N38YEAS","GCS UDR Queue"
"00G3f000000N38ZEAS","GCS UM Queue"
